"date","close","volume","open","high","low"
"2014/10/29","294.1200","4881538.0000","299.1100","299.6100","293.0701"
"2014/10/28","295.5900","5553280.0000","289.7600","298.0000","289.7600"
"2014/10/27","289.9700","5938196.0000","285.7000","290.4200","285.0200"
"2014/10/24","287.0600","19785070.0000","284.4000","293.8100","284.0000"
"2014/10/23","313.1800","8638059.0000","313.4000","316.8000","311.4000"
"2014/10/22","312.9700","3124044.0000","315.4300","318.9800","312.6400"
"2014/10/21","315.3300","3559258.0000","309.9000","315.6400","307.0700"
"2014/10/20","306.2100","3233326.0000","302.9500","306.5300","302.0200"
"2014/10/17","303.6400","4399931.0000","307.1500","309.2000","302.7200"
"2014/10/16","302.8600","4729261.0000","293.8300","306.8200","293.8300"
"2014/10/15","305.9700","5282651.0000","304.3500","307.9000","299.1020"
"2014/10/14","308.3100","3382525.0000","308.0000","312.2400","305.7500"
"2014/10/13","306.4500","4360893.0000","309.8700","313.2000","303.4700"
"2014/10/10","311.3900","3681172.0000","314.0200","317.7700","311.3800"
"2014/10/09","315.3700","3587626.0000","321.4900","322.2710","314.5200"
"2014/10/08","322.7000","3450917.0000","316.5800","324.1100","314.1400"
"2014/10/07","316.9800","2354960.0000","319.4300","322.0000","316.6700"
"2014/10/06","322.2000","2286845.0000","323.5000","324.1300","319.6000"
"2014/10/03","322.7400","3036577.0000","320.3600","325.1600","319.5300"
"2014/10/02","318.4100","3562618.0000","316.9200","318.5300","311.3100"
"2014/10/01","317.4600","3088712.0000","322.0400","322.1650","315.5500"
"2014/09/30","322.4400","2635937.0000","321.3600","323.4300","318.5100"
"2014/09/29","321.8200","1923889.0000","320.5000","323.7500","319.0000"
"2014/09/26","323.2100","3635387.0000","320.6000","323.5000","317.6400"
"2014/09/25","321.9300","2928653.0000","327.9900","328.5400","321.4000"
"2014/09/24","328.2100","2640136.0000","324.1700","329.4400","319.5600"
"2014/09/23","323.6300","2348623.0000","322.4600","327.6000","321.2500"
"2014/09/22","324.5000","3109489.0000","328.4900","329.4900","321.0600"
"2014/09/19","331.3200","6886162.0000","327.6000","332.7559","325.5700"
"2014/09/18","325.0000","2576294.0000","325.4400","327.1000","323.7105"
"2014/09/17","324.0000","4135926.0000","327.7600","328.0000","321.5200"
"2014/09/16","327.7600","3259711.0000","321.0700","329.4800","320.1000"
"2014/09/15","323.8900","3999817.0000","330.9100","331.3300","319.0000"
"2014/09/12","331.1900","3422903.0000","329.5600","332.8900","328.7900"
"2014/09/11","330.5200","2714887.0000","329.9400","333.0100","326.3900"
